index,rank,word,frequency,percentile,distance,probability,distance_probability
287,6613,"cantilever",0,4.1522,-2.244070,0.00010107,-7.36323161
288,6612,"bitumen",0,4.1667,-2.244070,0.00010107,-7.36323161
289,6611,"misogynous",0,4.1812,-2.244070,0.00010107,-7.36323161
290,6610,"torr",0,4.1957,-2.244070,0.00010107,-7.36323161
291,6609,"impeachment",0,4.2101,-2.244070,0.00010107,-7.36323161
292,6608,"assayer",0,4.2246,-2.154917,0.00010281,-7.36234008
293,6607,"organochlorine",0,4.2391,-2.154917,0.00010281,-7.36234008
294,6606,"geoeconomic",0,4.2536,-2.154917,0.00010281,-7.36234008
295,6605,"trochanter",0,4.2681,-2.154917,0.00010281,-7.36234008
296,6604,"supergun",0,4.2826,-2.154917,0.00010281,-7.36234008
297,6603,"dogmatics",0,4.2971,-2.154917,0.00010281,-7.36234008
298,6602,"orthopaedics",0,4.3116,-2.154917,0.00010281,-7.36234008
299,6601,"psychokinesis",0,4.3261,-2.154917,0.00010281,-7.36234008
300,6600,"grapeseed",0,4.3406,-2.154917,0.00010281,-7.36234008
301,6599,"drogue",0,4.3551,-2.154917,0.00010281,-7.36234008
302,6598,"electronystagmography",0,4.3696,-2.154917,0.00010281,-7.36234008
303,6597,"thermophilic",0,4.3841,-2.154917,0.00010281,-7.36234008
304,6596,"iodized",0,4.3986,-2.154917,0.00010281,-7.36234008
305,6595,"kilocalorie",0,4.4130,-2.065764,0.00010455,-7.36144855
306,6594,"podcast",0,4.4275,-2.065764,0.00010455,-7.36144855
307,6593,"bollworm",0,4.4420,-2.065764,0.00010455,-7.36144855
308,6592,"silversides",0,4.4565,-2.065764,0.00010455,-7.36144855
309,6591,"bookmobile",0,4.4710,-2.065764,0.00010455,-7.36144855
310,6590,"economistic",0,4.4855,-2.065764,0.00010455,-7.36144855
311,6589,"hydrogel",0,4.5000,-2.065764,0.00010455,-7.36144855
312,6588,"ostium",0,4.5145,-2.065764,0.00010455,-7.36144855
313,6587,"recounted",0,4.5290,-2.065764,0.00010455,-7.36144855
314,6586,"bioregional",0,4.5435,-2.065764,0.00010455,-7.36144855
315,6585,"Neandertal",0,4.5580,-2.065764,0.00010455,-7.36144855
316,6584,"intranasal",0,4.5725,-2.065764,0.00010455,-7.36144855
317,6583,"plaice",0,4.5870,-2.065764,0.00010455,-7.36144855
318,6582,"cryonic",0,4.6014,-2.065764,0.00010455,-7.36144855
319,6581,"thiamine",0,4.6159,-2.065764,0.00010455,-7.36144855
320,6580,"circumciser",0,4.6304,-2.065764,0.00010455,-7.36144855
321,6579,"cant",0,4.6449,-2.065764,0.00010455,-7.36144855
322,6578,"shareware",0,4.6594,-2.065764,0.00010455,-7.36144855
323,6577,"cognate",0,4.6739,-2.065764,0.00010455,-7.36144855
